seq_name,cell_types_98,cell_types_50,cell_types_25
LS-15006_S09_E1-50,Vip Arhgap36 Hmcn1,n70,n66
LS-15006_S10_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15006_S11_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15006_S12_E1-50,Vip Crispld2 Htr2c,n65,n64
LS-15006_S13_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15006_S14_E1-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
LS-15006_S15_E1-50,Sncg Vip Itih5,Sncg Vip Itih5,n86
LS-15006_S16_E1-50,Lamp5 Krt73,Lamp5 Krt73,n79
LS-15006_S17_E1-50,Vip Igfbp6 Car10,n62,n62
LS-15006_S18_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15006_S19_E1-50,Vip Lect1 Oxtr,n73,n66
LS-15006_S20_E1-50,Vip Crispld2 Kcne4,n65,n64
LS-15006_S21_E1-50,Vip Igfbp6 Pltp,n62,n62
LS-15006_S22_E1-50,Vip Crispld2 Htr2c,n65,n64
LS-15006_S23_E1-50,Vip Lect1 Oxtr,n73,n66
LS-15006_S24_E1-50,Vip Crispld2 Kcne4,n65,n64
LS-15004_S01_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15004_S02_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15004_S03_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15004_S04_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15004_S05_E1-50,Sncg Vip Itih5,Sncg Vip Itih5,n86
LS-15004_S06_E1-50,Vip Chat Htr1f,n72,n66
LS-15004_S07_E1-50,Serpinf1 Aqp5 Vip,Serpinf1 Aqp5 Vip,n84
LS-15004_S08_E1-50,Vip Pygm C1ql1,n72,n66
LS-15004_S09_E1-50,Lamp5 Krt73,Lamp5 Krt73,n79
LS-15004_S10_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15004_S11_E1-50,Vip Chat Htr1f,n72,n66
LS-15004_S12_E1-50,Vip Pygm C1ql1,n72,n66
LS-15004_S13_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15004_S14_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15004_S15_E1-50,Vip Crispld2 Kcne4,n65,n64
LS-15004_S16_E1-50,Pvalb Tpbg,n111,n110
LS-15004_S17_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15004_S18_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15004_S19_E1-50,Lamp5 Fam19a1 Tmem182,n81,n79
LS-15004_S20_E1-50,Lamp5 Fam19a1 Tmem182,n81,n79
LS-15004_S21_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15004_S22_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15004_S23_E1-50,Lamp5 Krt73,Lamp5 Krt73,n79
LS-15004_S24_E1-50,Lamp5 Ntn1 Npy2r,n82,n79
LS-15004_S25_E1-50,Lamp5 Fam19a1 Tmem182,n81,n79
LS-15004_S26_E1-50,Lamp5 Krt73,Lamp5 Krt73,n79
LS-15004_S27_E1-50,Lamp5 Fam19a1 Pax6,n81,n79
LS-15004_S28_E1-50,Vip Lect1 Oxtr,n73,n66
LS-15004_S29_E1-50,Vip Igfbp6 Car10,n62,n62
LS-15004_S30_E1-50,Lamp5 Plch2 Dock5,n82,n79
LS-15004_S31_E1-50,Lamp5 Ntn1 Npy2r,n82,n79
LS-15004_S32_E1-50,Vip Igfbp6 Pltp,n62,n62
LS-15015_S09_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15015_S10_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15015_S11_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15015_S12_E1-50,Vip Igfbp6 Pltp,n62,n62
LS-15015_S13_E1-50,Sst Tac1 Tacr3,Sst Tac1 Tacr3,n91
LS-15015_S14_E1-50,Pvalb Reln Tac1,n111,n110
LS-15015_S15_E1-50,Sst Chrna2 Ptgdr,n94,n91
LS-15015_S16_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15006_S25_E1-50,Sst Hpse Cbln4,n107,n91
LS-15006_S26_E1-50,Sst Hpse Cbln4,n107,n91
LS-15006_S27_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15006_S28_E1-50,Sst Chrna2 Glra3,n95,n91
LS-15006_S29_E1-50,Pvalb Reln Tac1,n111,n110
LS-15006_S30_E1-50,Sst Hpse Sema3c,n107,n91
LS-15006_S31_E1-50,Pvalb Reln Tac1,n111,n110
LS-15006_S32_E1-50,Sst Chrna2 Ptgdr,n94,n91
LS-15004_S41_E1-50,Pvalb Reln Tac1,n111,n110
LS-15004_S42_E1-50,Pvalb Reln Tac1,n111,n110
LS-15004_S43_E1-50,Pvalb Reln Tac1,n111,n110
LS-15004_S45_E1-50,Vip Igfbp4 Mab21l1,Vip Igfbp4 Mab21l1,n66
LS-15004_S46_E1-50,Sst Hpse Sema3c,n107,n91
LS-15004_S47_E1-50,Sst Chrna2 Glra3,n95,n91
LS-15004_S48_E1-50,Sst Hpse Sema3c,n107,n91
LS-15004_S49_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15004_S50_E1-50,Pvalb Reln Tac1,n111,n110
LS-15004_S51_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15004_S52_E1-50,Pvalb Vipr2,Pvalb Vipr2,Pvalb Vipr2
LS-15004_S53_E1-50,Vip Pygm C1ql1,n72,n66
LS-15004_S54_E1-50,Sst Hpse Sema3c,n107,n91
LS-15004_S55_E1-50,Vip Igfbp4 Mab21l1,Vip Igfbp4 Mab21l1,n66
LS-15004_S56_E1-50,Vip Pygm C1ql1,n72,n66
LS-15004_S57_E1-50,Sst Mme Fam114a1,n105,n91
LS-15004_S58_E1-50,Sst Rxfp1 Prdm8,n100,n91
LS-15004_S59_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15004_S60_E1-50,Vip Arhgap36 Hmcn1,n70,n66
LS-15004_S61_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15004_S62_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15004_S63_E1-50,Pvalb Reln Tac1,n111,n110
LS-15004_S64_E1-50,Sst Chrna2 Glra3,n95,n91
LS-15004_S65_E1-50,Vip Ptprt Pkp2,n73,n66
LS-15004_S66_E1-50,Sst Chodl,Sst Chodl,Sst Chodl
LS-15004_S67_E1-50,Pvalb Calb1 Sst,n111,n110
LS-15004_S69_E1-50,Sst Myh8 Etv1 ,n95,n91
LS-15004_S70_E1-50,Vip Igfbp4 Mab21l1,Vip Igfbp4 Mab21l1,n66
LS-15004_S71_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15004_S72_E1-50,Sst Mme Fam114a1,n105,n91
LS-15006_S33_E1-50,Vip Igfbp4 Mab21l1,Vip Igfbp4 Mab21l1,n66
LS-15006_S34_E1-50,Sst Myh8 Fibin,n95,n91
LS-15006_S35_E1-50,Sst Nr2f2 Necab1,Sst Nr2f2 Necab1,n91
LS-15006_S36_E1-50,Pvalb Reln Tac1,n111,n110
LS-15006_S37_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15006_S38_E1-50,Sst Chrna2 Glra3,n95,n91
LS-15006_S39_E1-50,Lamp5 Lsp1,Lamp5 Lsp1,n78
LS-15006_S40_E1-50,Sncg Gpr50,n87,n86
LS-15006_S41_E1-50,Pvalb Reln Tac1,n111,n110
LS-15006_S43_E1-50,Sst Chrna2 Glra3,n95,n91
LS-15006_S44_E1-50,Pvalb Gabrg1,Pvalb Gabrg1,n110
LS-15006_S45_E1-50,Sst Chrna2 Glra3,n95,n91
LS-15006_S46_E1-50,Vip Arhgap36 Hmcn1,n70,n66
LS-15006_S47_E1-50,Sst Chrna2 Ptgdr,n94,n91
LS-15006_S48_E1-50,Pvalb Reln Tac1,n111,n110
SM-D9CXO_S09_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXO_S10_E1-50,L6 CT VISp Nxph2 Wls,n47,n46
SM-D9CXO_S11_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S12_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S13_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXO_S14_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S15_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S16_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S17_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXO_S18_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S19_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S20_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXO_S21_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXO_S22_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S23_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXO_S24_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S33_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXO_S34_E1-50,L6 CT VISp Ctxn3 Brinp3,n47,n46
SM-D9CXO_S35_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S36_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S37_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S38_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXO_S39_E1-50,L6 CT VISp Gpr139,L6 CT VISp Gpr139,n46
SM-D9CXO_S40_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXP_S01_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXP_S02_E1-50,L6 CT VISp Krt80 Sla,n47,n46
SM-D9CXP_S03_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXP_S04_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
SM-D9CXP_S05_E1-50,L6 CT VISp Ctxn3 Sla,n47,n46
